trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,0.021102530776719006,2.589645024344928
trial_1,subject-1,02,0.16418809074181015,8.128623804733357
trial_1,subject-1,03,0.025030150228944902,1.4806533886468247
trial_1,subject-1,04,0.0608817288212817,4.571573978497184
trial_1,subject-1,05,0.050609691672332605,0.5438115251219493
trial_2,subject-1,01,0.1366026069328679,4.530921222939672
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,0.053941633357339897,21.37972251474392
trial_2,subject-1,05,0.042119861821650735,7.470534092117095
trial_3,subject-1,01,0.03428842511517647,0.6392032060661896
trial_3,subject-1,02,0.11418349783882066,1.5857150738347006
trial_3,subject-1,03,0.024952527695150037,0.7250522337270192
trial_3,subject-1,04,0.02518182219402612,2.0944402119251286
trial_3,subject-1,05,0.04299041227657518,2.7794274186884795
